id,group,pop_2020
77,Total Population,"3,041"
77,White alone,945
77,Black or African-American alone,"1,614"
77,Asian-American alone,264
77,American Indian and Alaska Native alone,4
77,Native Hawaiian or Other Pacific Islander alone,2
77,Some Other Race alone,78
77,Two or More Races,134
63,Total Population,"1,488"
63,White alone,190
63,Black or African-American alone,"1,227"
63,Asian-American alone,1
63,American Indian and Alaska Native alone,1
63,Native Hawaiian or Other Pacific Islander alone,0
63,Some Other Race alone,5
63,Two or More Races,64
39,Total Population,"3,458"
39,White alone,"1,598"
39,Black or African-American alone,"1,249"
39,Asian-American alone,241
39,American Indian and Alaska Native alone,5
39,Native Hawaiian or Other Pacific Islander alone,2
39,Some Other Race alone,110
39,Two or More Races,253
