neighborhood,2020
Franz Park,"2,260"
Tiffany,915
Botanical Heights,"1,196"
Kings Oak,167
Cheltenham,"1,260"
Clayton-Tamm,"2,348"
Forest Park South East,"3,458"
Hi-Pointe,"2,151"
Midtown,"6,862"
Jeff Vanderlou,"4,209"
Wydown Skinker,"1,121"
Covenant Blu-Grand Center,"3,041"
Central West End,"16,670"
Vandeventer,"2,041"
Visitation Park,924
Lewis Place,"1,359"
Fountain Park,"1,075"
The Ville,"1,427"
Academy,"2,355"
Fairground Park,12
West End,"6,846"
Greater Ville,"4,545"
Fairground Neighborhood,"1,157"
Hamilton Heights,"2,187"
Kingsway East,"2,502"
Kingsway West,"2,604"
Patch,"2,842"
Carondelet Park,15
Carondelet,"7,734"
Holly Hills,"3,647"
Boulevard Heights,"8,690"
Mount Pleasant,"4,376"
Princeton Heights,"7,364"
St. Louis Hills,"7,516"
Willmore Park,1
Dutchtown,"15,356"
Bevo Mill,"11,941"
Southampton,"6,647"
Marine Villa,"2,530"
Gravois Park,"4,683"
North Hampton,"7,489"
Benton Park West,"4,238"
Tower Grove South,"12,719"
Lindenwood Park,"9,387"
Benton Park,"3,581"
Tower Grove Park,7
Tower Grove East,"5,708"
McKinley Heights,"1,668"
Soulard,"3,831"
Fox Park,"2,545"
Compton Heights,"1,396"
Kosciusko,52
Shaw,"6,919"
Southwest Garden,"5,245"
Clifton Heights,"2,836"
LaSalle Park,"1,088"
Peabody Darst Webbe,"2,443"
Lafayette Square,"2,164"
Ellendale,"1,385"
The Hill,"2,487"
The Gate District,"3,419"
College Hill,"1,243"
O'Fallon,"4,342"
O'Fallon Park,0
Penrose,"5,243"
Wells Goodfellow,"4,473"
Mark Twain,"3,257"
Mark Twain I-70 Industrial,902
Walnut Park East,"2,757"
Walnut Park West,"2,561"
North Pointe,"3,396"
North Riverfront,154
Baden,"5,465"
Riverview,242
Forest Park,50
DeBaliviere Place,"3,651"
Skinker DeBaliviere,"3,899"
Downtown,"5,442"
Near North Riverfront,395
Columbus Square,"1,978"
Old North St. Louis,"1,488"
Carr Square,"2,236"
Hyde Park,"2,271"
St. Louis Place,"2,336"
Downtown West,"5,115"
Missouri Botanical Garden,3
Penrose Park,22
Bellefontaine/Calvary Cemetery,0
Unallocated - Awaiting CQR,16
